"id","source","coin","satoshis","wei","usdt","timestamp"
309,0,"FCT",305477,,,1508341121.55545
310,0,"ZRX",3923,,,1508341121.55545
311,0,"STR",711,,,1508341121.55545
312,0,"XBC",830240,,,1508341121.55545
313,0,"NOTE",697,,,1508341121.55545
314,0,"NXC",4568,,,1508341121.55545
315,0,"BCH",6011100,,,1508341121.55545
316,0,"XVC",4187,,,1508341121.55545
317,0,"GAME",36175,,,1508341121.55545
318,0,"ZEC",4174041,,,1508341121.55545
319,0,"XEM",4080,,,1508341121.55545
320,0,"XMR",1666370,,,1508341121.55545
321,0,"EMC2",1614,,,1508341121.55545
322,0,"REP",340000,,,1508341121.55545
323,0,"POT",1286,,,1508341121.55545
324,0,"NMC",20758,,,1508341121.55545
325,0,"FLDC",158,,,1508341121.55545
326,0,"BCN",25,,,1508341121.55545
327,0,"FLO",1248,,,1508341121.55545
328,0,"XPM",1950,,,1508341121.55545
329,0,"BELA",1825,,,1508341121.55545
330,0,"GAS",390000,,,1508341121.55545
331,0,"CLAM",72912,,,1508341121.55545
332,0,"OMG",148887,,,1508341121.55545
333,0,"LBC",3100,,,1508341121.55545
334,0,"PASC",4631,,,1508341121.55545
335,0,"GNT",3918,,,1508341121.55545
336,0,"OMNI",410052,,,1508341121.55545
337,0,"BURST",119,,,1508341121.55545
338,0,"VRC",5781,,,1508341121.55545
339,0,"GRC",602,,,1508341121.55545
340,0,"BTCD",1533000,,,1508341121.55545
341,0,"NAUT",1870,,,1508341121.55545
342,0,"ETC",208200,,,1508341121.55545
343,0,"BTS",1058,,,1508341121.55545
344,0,"DASH",5372903,,,1508341121.55545
345,0,"NAV",18609,,,1508341121.55545
346,0,"ARDR",4249,,,1508341121.55545
347,0,"LTC",1052903,,,1508341121.55545
348,0,"XCP",153092,,,1508341121.55545
349,0,"DGB",194,,,1508341121.55545
350,0,"AMP",2314,,,1508341121.55545
351,0,"BTC",100000000,,5249.5,1508341182.4075
352,0,"ETH",5683053,100000000,298.62000001,1508341182.4075
353,0,"NXT",1202,,,1508341182.4075
354,0,"BTM",8394,,,1508341182.4075
